# time,  FLS,  FRS,  RLS,  RRS,  FLA,  FRA,  RLA,  RRA,  FLS_cmd,  FRS_cmd,  RLS_cmd,  RRS_cmd,  FLA_cmd,  FRA_cmd,  RLA_cmd,  RRA_cmd, 
1708525402032362020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402042355478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402052358634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402062356695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402072350355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402082361210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402092285142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402102274187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402112283134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402122255881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402132347844 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402142328841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402152353137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402162329097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402172348335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402182332907 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402192361159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402202323425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402212355988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402222361974 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402232354742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402242354117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402252359723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402262356356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402272363911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402282358438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402292337973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402302323684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
